AIANNHCE,AIANNHNAME
5188,Pearl City Hawaiian Home Land
5193,Piihonua Hawaiian Home Land
5196,Ponohawaii Hawaiian Home Land
5198,Princess Kahanu Estates Hawaiian Home Land
5199,Pulehunui Hawaiian Home Land
5201,Puukapu Hawaiian Home Land
5213,South Maui Hawaiian Home Land
5216,Ualapue Hawaiian Home Land
5222,Upolu Hawaiian Home Land
5223,Waiahole Hawaiian Home Land
5236,Waiakea Hawaiian Home Land
5238,Waianae Hawaiian Home Land
5239,Waianae Kai Hawaiian Home Land
5241,Waiehu Hawaiian Home Land
5248,Waiku-Hana Hawaiian Home Land
5251,Wailau Hawaiian Home Land
5256,Wailua Hawaiian Home Land
5271,Waimanalo Hawaiian Home Land
5276,Waimanu Hawaiian Home Land
5281,Waimea Hawaiian Home Land
5283,Waiohinu Hawaiian Home Land
5286,Waiohuli (Residential) Hawaiian Home Land
5540,Caddo-Wichita-Delaware OTSA
5550,Cherokee OTSA
5560,Cheyenne-Arapaho OTSA
5580,Chickasaw OTSA
5590,Choctaw OTSA
5600,Citizen Potawatomi Nation-Absentee Shawnee OTSA
5620,Creek OTSA
5640,Eastern Shawnee OTSA
5670,Iowa OTSA
5690,Kaw OTSA
5700,Kickapoo OTSA
5720,Kiowa-Comanche-Apache-Fort Sill Apache OTSA
5730,Miami OTSA
5740,Modoc OTSA
5760,Otoe-Missouria OTSA
5770,Ottawa OTSA
5780,Pawnee OTSA
5795,Peoria OTSA
5800,Ponca OTSA
5810,Quapaw OTSA
5820,Sac and Fox OTSA
5830,Seminole OTSA
5835,Seneca-Cayuga OTSA
5860,Tonkawa OTSA
5890,Wyandotte OTSA
5915,Creek/Seminole joint-use OTSA
5950,Kaw/Ponca joint-use OTSA
5955,Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA
5970,Miami/Peoria joint-use OTSA
6015,Akhiok ANVSA
6020,Akiachak ANVSA
6025,Akiak ANVSA
6030,Akutan ANVSA
6035,Alakanuk ANVSA
6040,Alatna ANVSA
6045,Aleknagik ANVSA
6065,Algaaciq ANVSA
6070,Allakaket ANVSA
6075,Ambler ANVSA
6080,Anaktuvuk Pass ANVSA
6095,Andreafsky ANVSA
6100,Angoon ANVSA
6105,Aniak ANVSA
6125,Anvik ANVSA
6140,Arctic Village ANVSA
6150,Atka ANVSA
6160,Atmautluak ANVSA
